Description,Severity,Status,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
9 lines occurring 2 times in 2 files,HIGH,RAW,2,9,9,2,false,true,TypeScript,"server/services/trip-updates.service.ts#L152:165,server/services/vehicle-positions.service.ts#L158:171"
9 lines occurring 2 times,HIGH,RAW,8,9,9,2,true,true,TypeScript,"client/scripts/map.ts#L422:433,client/scripts/map.ts#L537:548"
7 lines occurring 3 times in 3 files,HIGH,RAW,1,7,14,3,false,true,TypeScript,"client/scripts/components/calendar-picker.ts#L44:58,client/scripts/components/route-selector.ts#L70:84,client/scripts/components/time-picker.ts#L65:79"
7 lines occurring 3 times in 3 files,HIGH,RAW,1,7,14,3,false,true,TypeScript,"client/scripts/account.ts#L1029:1036,client/scripts/auth.ts#L557:564,client/scripts/map.ts#L805:812"
8 lines occurring 2 times in 2 files,HIGH,RAW,2,8,8,2,false,true,TypeScript,"client/scripts/account.ts#L1029:1040,client/scripts/auth.ts#L557:568"
6 lines occurring 2 times,HIGH,RAW,8,6,6,2,true,true,TypeScript,"client/scripts/controllers/filter-controller.ts#L142:149,client/scripts/controllers/filter-controller.ts#L196:203"
6 lines occurring 2 times in 2 files,HIGH,RAW,8,6,6,2,false,true,TypeScript,"client/scripts/controllers/filter-controller.ts#L887:895,client/scripts/trackers/vehicle-tracker.ts#L429:437"
7 lines occurring 2 times,HIGH,RAW,8,7,7,2,true,true,TypeScript,"client/scripts/auth.ts#L425:431,client/scripts/auth.ts#L518:524"
6 lines occurring 2 times,HIGH,RAW,8,6,6,2,true,true,TypeScript,"server/services/tripshot.service.ts#L177:182,server/services/tripshot.service.ts#L192:197"
7 lines occurring 2 times,HIGH,RAW,8,7,7,2,true,true,TypeScript,"server/models/user.model.ts#L493:501,server/models/user.model.ts#L511:519"
6 lines occurring 2 times in 2 files,HIGH,RAW,1,6,6,2,false,true,TypeScript,"server/db/dac.ts#L23:28,server/services/memory-monitor.service.ts#L5:10"
6 lines occurring 2 times,HIGH,RAW,8,6,6,2,true,true,TypeScript,"client/scripts/account.ts#L557:599,client/scripts/account.ts#L623:652"
6 lines occurring 2 times in 2 files,HIGH,RAW,2,6,6,2,false,true,TypeScript,"server/services/trip-updates.service.ts#L49:64,server/services/vehicle-positions.service.ts#L50:65"
7 lines occurring 2 times,HIGH,RAW,6,7,7,2,true,true,TypeScript,"server/controllers/transit.controller.ts#L952:959,server/controllers/transit.controller.ts#L986:993"
7 lines occurring 2 times in 2 files,HIGH,RAW,2,7,7,2,false,true,TypeScript,"server/services/trip-updates.service.ts#L31:37,server/services/vehicle-positions.service.ts#L29:35"
6 lines occurring 2 times in 2 files,HIGH,RAW,2,6,6,2,false,true,TypeScript,"client/scripts/components/route-selector.ts#L125:157,client/scripts/components/time-picker.ts#L110:146"
6 lines occurring 2 times,HIGH,RAW,8,6,6,2,true,true,TypeScript,"server/services/gtfs.service.ts#L385:391,server/services/gtfs.service.ts#L413:419"
7 lines occurring 2 times in 2 files,HIGH,RAW,8,7,7,2,false,false,TypeScript,"client/scripts/maps/google-map.provider.ts#L120:126,common/map.interface.ts#L50:56"
6 lines occurring 2 times,HIGH,RAW,8,6,6,2,true,true,TypeScript,"client/scripts/renderers/route-renderer.ts#L309:316,client/scripts/renderers/route-renderer.ts#L332:339"
