Description,Severity,Status,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"McCabe complexity of 10 for unit AuthController.register(Request,Response)",LOW,RAW,8,"AuthController.register(Request,Response)",server/controllers/auth.controller.ts#L32:106,TypeScript,65,10,2
McCabe complexity of 8 for unit TimePickerPanel.attachEvents(),LOW,RAW,8,TimePickerPanel.attachEvents(),client/scripts/components/time-picker.ts#L180:258,TypeScript,64,8,0
McCabe complexity of 10 for unit CalendarPickerPanel.render(),LOW,RAW,8,CalendarPickerPanel.render(),client/scripts/components/calendar-picker.ts#L88:164,TypeScript,64,10,0
"McCabe complexity of 7 for unit AccountController.updatePassword(Request,Response)",LOW,RAW,8,"AccountController.updatePassword(Request,Response)",server/controllers/account.controller.ts#L596:665,TypeScript,60,7,2
McCabe complexity of 10 for unit TransitModel.refreshAllCaches(),LOW,RAW,8,TransitModel.refreshAllCaches(),server/models/transit.model.ts#L315:384,TypeScript,60,10,0
"McCabe complexity of 7 for unit AccountController.updatePrivilege(Request,Response)",LOW,RAW,8,"AccountController.updatePrivilege(Request,Response)",server/controllers/account.controller.ts#L348:417,TypeScript,60,7,2
McCabe complexity of 9 for unit RouteSelectorPanel.attachEvents(),LOW,RAW,8,RouteSelectorPanel.attachEvents(),client/scripts/components/route-selector.ts#L179:251,TypeScript,59,9,0
"McCabe complexity of 9 for unit FilterController.showStopPopup(IStop,IPrediction[])",LOW,RAW,8,"FilterController.showStopPopup(IStop,IPrediction[])",client/scripts/controllers/filter-controller.ts#L824:897,TypeScript,58,9,2
"McCabe complexity of 6 for unit AccountController.updateEmail(Request,Response)",LOW,RAW,8,"AccountController.updateEmail(Request,Response)",server/controllers/account.controller.ts#L525:590,TypeScript,56,6,2
McCabe complexity of 9 for unit VehicleTracker.showVehiclePopup(string),LOW,RAW,8,VehicleTracker.showVehiclePopup(string),client/scripts/trackers/vehicle-tracker.ts#L362:439,TypeScript,53,9,1
McCabe complexity of 6 for unit CalendarPickerPanel.attachEvents(),LOW,RAW,8,CalendarPickerPanel.attachEvents(),client/scripts/components/calendar-picker.ts#L166:225,TypeScript,48,6,0
McCabe complexity of 10 for unit FilterController.checkServiceHealth(),LOW,RAW,8,FilterController.checkServiceHealth(),client/scripts/controllers/filter-controller.ts#L937:991,TypeScript,47,10,0
McCabe complexity of 7 for unit RouteSelectorPanel.render(),LOW,RAW,8,RouteSelectorPanel.render(),client/scripts/components/route-selector.ts#L125:177,TypeScript,46,7,0
McCabe complexity of 9 for unit account.ts.enterEditMode(),LOW,RAW,8,account.ts.enterEditMode(),client/scripts/account.ts#L450:510,TypeScript,46,9,0
"McCabe complexity of 6 for unit AccountController.getUserAccount(Request,Response)",LOW,RAW,8,"AccountController.getUserAccount(Request,Response)",server/controllers/account.controller.ts#L170:221,TypeScript,46,6,2
McCabe complexity of 9 for unit TransitModel.startColorRetry(),LOW,RAW,8,TransitModel.startColorRetry(),server/models/transit.model.ts#L440:491,TypeScript,46,9,0
McCabe complexity of 7 for unit account.ts.renderReadMode(),LOW,RAW,8,account.ts.renderReadMode(),client/scripts/account.ts#L383:444,TypeScript,45,7,0
McCabe complexity of 9 for unit FilterController.renderFilteredRoutes(),LOW,RAW,8,FilterController.renderFilteredRoutes(),client/scripts/controllers/filter-controller.ts#L593:650,TypeScript,44,9,0
McCabe complexity of 6 for unit User.validatePasswordStrength(string),LOW,RAW,8,User.validatePasswordStrength(string),server/models/user.model.ts#L748:801,TypeScript,44,6,1
"McCabe complexity of 9 for unit BusController.getStops(Request,Response)",LOW,RAW,8,"BusController.getStops(Request,Response)",server/controllers/transit.controller.ts#L1043:1091,TypeScript,42,9,2
McCabe complexity of 8 for unit FilterController.fetchBulkData(),LOW,RAW,8,FilterController.fetchBulkData(),client/scripts/controllers/filter-controller.ts#L158:205,TypeScript,42,8,0
"McCabe complexity of 8 for unit MapController.getUser(Request,Response)",LOW,RAW,8,"MapController.getUser(Request,Response)",server/controllers/map.controller.ts#L66:112,TypeScript,39,8,2
McCabe complexity of 8 for unit ModerationService.geminiModerate(string),LOW,RAW,1,ModerationService.geminiModerate(string),server/services/moderation.service.ts#L56:101,TypeScript,39,8,1
McCabe complexity of 10 for unit TransitModel.getDetoursWithGeometry(string),LOW,RAW,8,TransitModel.getDetoursWithGeometry(string),server/models/transit.model.ts#L217:260,TypeScript,38,10,1
"McCabe complexity of 7 for unit BusController.getPatterns(Request,Response)",LOW,RAW,8,"BusController.getPatterns(Request,Response)",server/controllers/transit.controller.ts#L998:1040,TypeScript,38,7,2
McCabe complexity of 10 for unit FilterController.fetchAllRoutes(),LOW,RAW,8,FilterController.fetchAllRoutes(),client/scripts/controllers/filter-controller.ts#L113:151,TypeScript,36,10,0
