ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
83d71932-f471-4c3e-a01f-0130241cbd47,client/scripts/map.ts,scripts,9,1.8595041,503,514
83d71932-f471-4c3e-a01f-0130241cbd47,client/scripts/map.ts,scripts,9,1.8595041,544,555
83d71932-f471-4c3e-a01f-0130241cbd47,client/scripts/map.ts,scripts,9,1.8595041,585,596
f246a1de-be91-49fd-8ec5-25240448e7e0,server/controllers/account.controller.ts,server,13,3.1100478,131,147
f246a1de-be91-49fd-8ec5-25240448e7e0,server/controllers/account.controller.ts,server,13,3.1100478,376,392
57c9e373-b5dc-4456-91b5-d7998990c4c8,client/scripts/components/calendar-picker.ts,scripts,9,8.411215,63,77
57c9e373-b5dc-4456-91b5-d7998990c4c8,client/scripts/components/route-selector.ts,scripts,9,6.6666665,90,104
57c9e373-b5dc-4456-91b5-d7998990c4c8,client/scripts/components/time-picker.ts,scripts,9,5.806452,85,99
57c9e373-b5dc-4456-91b5-d7998990c4c8,client/scripts/components/toggle-panel.ts,scripts,9,9.278351,151,165
90031706-1c4d-4621-9ff3-05e1964ec3c3,server/services/tripshot.service.ts,server,12,4.347826,263,277
90031706-1c4d-4621-9ff3-05e1964ec3c3,server/services/tripshot.service.ts,server,12,4.347826,354,369
b48ad057-f574-4c55-82ec-e732d94ae878,server/services/trip-updates.service.ts,server,12,9.6,236,248
b48ad057-f574-4c55-82ec-e732d94ae878,server/services/vehicle-positions.service.ts,server,12,8.888889,245,257
520a4785-11f9-448f-b056-9ce1b4e4a6d5,client/scripts/controllers/filter-controller.ts,scripts,11,1.8965517,826,843
520a4785-11f9-448f-b056-9ce1b4e4a6d5,client/scripts/trackers/vehicle-tracker.ts,scripts,11,4.3307085,367,385
a6bd9c7c-36e6-461f-a444-b4f76305db74,client/scripts/state/map-state.ts,scripts,10,10.752688,41,51
a6bd9c7c-36e6-461f-a444-b4f76305db74,client/scripts/state/map-state.ts,scripts,10,10.752688,136,146
bb1d3c92-d70f-441b-be35-17eeaf455ab6,client/scripts/auth.ts,scripts,10,3.0487804,348,370
bb1d3c92-d70f-441b-be35-17eeaf455ab6,client/scripts/auth.ts,scripts,10,3.0487804,478,500
d041c784-23d3-4afe-8308-7a10eee0d0f6,server/controllers/account.controller.ts,server,7,1.6746411,173,180
d041c784-23d3-4afe-8308-7a10eee0d0f6,server/controllers/account.controller.ts,server,7,1.6746411,231,238
d041c784-23d3-4afe-8308-7a10eee0d0f6,server/controllers/account.controller.ts,server,7,1.6746411,352,359
d041c784-23d3-4afe-8308-7a10eee0d0f6,server/controllers/account.controller.ts,server,7,1.6746411,427,434
d041c784-23d3-4afe-8308-7a10eee0d0f6,server/controllers/account.controller.ts,server,7,1.6746411,529,536
d041c784-23d3-4afe-8308-7a10eee0d0f6,server/controllers/account.controller.ts,server,7,1.6746411,600,607
508ec40c-a8b2-4475-ad44-9d708ce3a525,server/controllers/account.controller.ts,server,7,1.6746411,679,686
508ec40c-a8b2-4475-ad44-9d708ce3a525,server/controllers/auth.controller.ts,server,7,3.626943,87,94
508ec40c-a8b2-4475-ad44-9d708ce3a525,server/controllers/auth.controller.ts,server,7,3.626943,199,206
508ec40c-a8b2-4475-ad44-9d708ce3a525,server/controllers/auth.controller.ts,server,7,3.626943,251,258
508ec40c-a8b2-4475-ad44-9d708ce3a525,server/controllers/auth.controller.ts,server,7,3.626943,289,296
508ec40c-a8b2-4475-ad44-9d708ce3a525,server/controllers/map.controller.ts,server,7,9.589041,93,101
b5ffa81b-4015-4fab-8182-f75f6cc77796,server/services/tripshot.service.ts,server,9,3.2608695,283,299
b5ffa81b-4015-4fab-8182-f75f6cc77796,server/services/tripshot.service.ts,server,9,3.2608695,383,398
428fdebc-744e-4556-8947-2349c44fc450,client/scripts/map.ts,scripts,6,1.2396694,348,355
428fdebc-744e-4556-8947-2349c44fc450,client/scripts/map.ts,scripts,6,1.2396694,407,414
428fdebc-744e-4556-8947-2349c44fc450,client/scripts/map.ts,scripts,6,1.2396694,447,454
428fdebc-744e-4556-8947-2349c44fc450,client/scripts/map.ts,scripts,6,1.2396694,488,495
428fdebc-744e-4556-8947-2349c44fc450,client/scripts/map.ts,scripts,6,1.2396694,529,536
45eef6d5-853b-402d-83ee-fedc2c3501a3,server/services/trip-updates.service.ts,server,9,7.2,152,165
45eef6d5-853b-402d-83ee-fedc2c3501a3,server/services/vehicle-positions.service.ts,server,9,6.6666665,158,171
7a33222f-94b6-45b2-b678-9ff71098db60,client/scripts/map.ts,scripts,9,1.8595041,422,433
7a33222f-94b6-45b2-b678-9ff71098db60,client/scripts/map.ts,scripts,9,1.8595041,537,548
caacd278-6ec0-4a56-b6da-8defca356dc0,client/scripts/components/calendar-picker.ts,scripts,7,6.542056,44,58
caacd278-6ec0-4a56-b6da-8defca356dc0,client/scripts/components/route-selector.ts,scripts,7,5.185185,70,84
caacd278-6ec0-4a56-b6da-8defca356dc0,client/scripts/components/time-picker.ts,scripts,7,4.516129,65,79
17e89de3-1ba3-4bca-bba9-96b4cf5ff8cd,client/scripts/account.ts,scripts,7,1.3409961,1029,1036
17e89de3-1ba3-4bca-bba9-96b4cf5ff8cd,client/scripts/auth.ts,scripts,7,2.1341465,557,564
17e89de3-1ba3-4bca-bba9-96b4cf5ff8cd,client/scripts/map.ts,scripts,7,1.446281,805,812
7011cd76-38fd-4baf-812b-65f46e9c887c,client/scripts/account.ts,scripts,8,1.532567,1029,1040
7011cd76-38fd-4baf-812b-65f46e9c887c,client/scripts/auth.ts,scripts,8,2.4390244,557,568
8c8b8360-e8e2-4c7d-a20a-6c62b270f8e1,client/scripts/controllers/filter-controller.ts,scripts,6,1.0344827,142,149
8c8b8360-e8e2-4c7d-a20a-6c62b270f8e1,client/scripts/controllers/filter-controller.ts,scripts,6,1.0344827,196,203
945ca7a0-c814-4727-80b1-3483d294e901,client/scripts/controllers/filter-controller.ts,scripts,6,1.0344827,887,895
945ca7a0-c814-4727-80b1-3483d294e901,client/scripts/trackers/vehicle-tracker.ts,scripts,6,2.3622048,429,437
94ea4532-3e07-4205-8915-c483fd76b097,client/scripts/auth.ts,scripts,7,2.1341465,425,431
94ea4532-3e07-4205-8915-c483fd76b097,client/scripts/auth.ts,scripts,7,2.1341465,518,524
c14a173b-80fc-45aa-a40c-c76b0d45a0dd,server/services/tripshot.service.ts,server,6,2.173913,177,182
c14a173b-80fc-45aa-a40c-c76b0d45a0dd,server/services/tripshot.service.ts,server,6,2.173913,192,197
c3cfc665-789b-40cc-a383-71c45339c203,server/models/user.model.ts,server,7,1.1844332,493,501
c3cfc665-789b-40cc-a383-71c45339c203,server/models/user.model.ts,server,7,1.1844332,511,519
e1a18c02-6f9d-427d-a786-b18c337e568e,server/db/dac.ts,server,6,8.955224,23,28
e1a18c02-6f9d-427d-a786-b18c337e568e,server/services/memory-monitor.service.ts,server,6,5,5,10
037699f9-bafa-4d0a-84ae-e59a50e47252,client/scripts/account.ts,scripts,6,1.1494253,557,599
037699f9-bafa-4d0a-84ae-e59a50e47252,client/scripts/account.ts,scripts,6,1.1494253,623,652
20fcb5c6-c062-464e-80b0-1a9fec676067,server/services/trip-updates.service.ts,server,6,4.8,49,64
20fcb5c6-c062-464e-80b0-1a9fec676067,server/services/vehicle-positions.service.ts,server,6,4.4444447,50,65
2f631471-8ebc-42cc-80bf-91a9996c9295,server/controllers/transit.controller.ts,server,7,1.6548463,952,959
