route_id,segment_index,from_stop_id,to_stop_id,distance_meters,duration_seconds
967e607e-34fd-4451-a33f-01d4b8157cd3,13,5f3c1dc0-64e2-491c-af6f-4ccd49ef122c,a2dbee05-84fd-4951-9c67-115928124323,315,66
967e607e-34fd-4451-a33f-01d4b8157cd3,14,64aa846f-36fb-446d-99c4-cd33e19583de,f32c4dc4-4df2-457f-9b7a-240aa8a48667,200,36
967e607e-34fd-4451-a33f-01d4b8157cd3,15,689c721e-7080-426e-80fb-4ab48d3a98a5,c4f7f203-a459-4c2d-afea-1964b213e90a,166,34
967e607e-34fd-4451-a33f-01d4b8157cd3,16,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,aae90932-676a-4c7e-b783-af8003a1af1d,499,145
967e607e-34fd-4451-a33f-01d4b8157cd3,17,7522808f-0db4-4475-a235-949382763cf9,774b4ab9-f53c-4f89-a4e3-a54d2b441687,272,59
967e607e-34fd-4451-a33f-01d4b8157cd3,18,774b4ab9-f53c-4f89-a4e3-a54d2b441687,c938f7c8-5312-4d53-a949-93de07d75878,269,74
967e607e-34fd-4451-a33f-01d4b8157cd3,19,84e3df51-1618-4430-9723-e7a58b9532bf,b953e313-52af-41ea-97cc-4f6b3f37614b,152,22
967e607e-34fd-4451-a33f-01d4b8157cd3,20,a01ee824-2209-4927-8252-532d8c50b9f1,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,267,55
967e607e-34fd-4451-a33f-01d4b8157cd3,21,a17b213e-9af7-4769-b8a9-6fc9165d9af3,cb25a284-1841-4a23-aa00-4b0dc289d031,161,27
967e607e-34fd-4451-a33f-01d4b8157cd3,22,a1e0a969-63dd-407e-b114-68aa4eaffaeb,5e91626f-13ea-4af1-a4de-f3e56109a7e0,173,21
967e607e-34fd-4451-a33f-01d4b8157cd3,23,a2dbee05-84fd-4951-9c67-115928124323,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,335,58
967e607e-34fd-4451-a33f-01d4b8157cd3,24,aae90932-676a-4c7e-b783-af8003a1af1d,689c721e-7080-426e-80fb-4ab48d3a98a5,405,99
967e607e-34fd-4451-a33f-01d4b8157cd3,25,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,268,65
967e607e-34fd-4451-a33f-01d4b8157cd3,26,b953e313-52af-41ea-97cc-4f6b3f37614b,cc2eb61a-f787-484e-af8f-328d7920ba0d,237,37
967e607e-34fd-4451-a33f-01d4b8157cd3,27,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,37f01e68-57ab-4386-b38a-811e9f6b9a29,235,78
967e607e-34fd-4451-a33f-01d4b8157cd3,28,c4f7f203-a459-4c2d-afea-1964b213e90a,0900afc3-0cc6-45e2-a877-cbe3fa10d1ea,212,38
967e607e-34fd-4451-a33f-01d4b8157cd3,29,c938f7c8-5312-4d53-a949-93de07d75878,a17b213e-9af7-4769-b8a9-6fc9165d9af3,538,97
967e607e-34fd-4451-a33f-01d4b8157cd3,30,cb25a284-1841-4a23-aa00-4b0dc289d031,eb44021a-5557-4142-bdcd-cc946d1e0203,102,20
967e607e-34fd-4451-a33f-01d4b8157cd3,31,cc2eb61a-f787-484e-af8f-328d7920ba0d,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,714,121
967e607e-34fd-4451-a33f-01d4b8157cd3,32,da8b446b-4f2f-4789-913a-f8121c569fd1,84e3df51-1618-4430-9723-e7a58b9532bf,265,35
967e607e-34fd-4451-a33f-01d4b8157cd3,33,dd3016be-ebf8-4a54-8851-babe2018ee10,7522808f-0db4-4475-a235-949382763cf9,207,39
967e607e-34fd-4451-a33f-01d4b8157cd3,34,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,4977f8f4-05c2-4721-90f0-cde4ad5a55da,440,96
967e607e-34fd-4451-a33f-01d4b8157cd3,35,eb44021a-5557-4142-bdcd-cc946d1e0203,2987ba0b-ae93-47b5-854d-37adf49426e3,162,35
967e607e-34fd-4451-a33f-01d4b8157cd3,36,f32c4dc4-4df2-457f-9b7a-240aa8a48667,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,146,18
825c4caf-c531-4dbc-b11b-f90580abb70a,0,076c69a1-d116-4350-991f-e18676b95b43,64aa846f-36fb-446d-99c4-cd33e19583de,176,26
825c4caf-c531-4dbc-b11b-f90580abb70a,1,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,3836cf24-b1b8-46a5-a00c-aa245fd3332d,197,36
825c4caf-c531-4dbc-b11b-f90580abb70a,2,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,49c6247e-131e-4c0b-968e-665e5f320ba3,275,45
825c4caf-c531-4dbc-b11b-f90580abb70a,3,2987ba0b-ae93-47b5-854d-37adf49426e3,5f3c1dc0-64e2-491c-af6f-4ccd49ef122c,231,85
825c4caf-c531-4dbc-b11b-f90580abb70a,4,37f01e68-57ab-4386-b38a-811e9f6b9a29,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,179,48
825c4caf-c531-4dbc-b11b-f90580abb70a,5,3836cf24-b1b8-46a5-a00c-aa245fd3332d,84e3df51-1618-4430-9723-e7a58b9532bf,265,35
825c4caf-c531-4dbc-b11b-f90580abb70a,6,4977f8f4-05c2-4721-90f0-cde4ad5a55da,a01ee824-2209-4927-8252-532d8c50b9f1,74,18
825c4caf-c531-4dbc-b11b-f90580abb70a,7,49c6247e-131e-4c0b-968e-665e5f320ba3,076c69a1-d116-4350-991f-e18676b95b43,100,16
825c4caf-c531-4dbc-b11b-f90580abb70a,8,530092c6-9a75-4620-89c7-f0ffe9e8c7c4,a1e0a969-63dd-407e-b114-68aa4eaffaeb,153,20
825c4caf-c531-4dbc-b11b-f90580abb70a,9,5965691a-b592-4e49-8cb7-cf997fa8b164,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,691,118
